ds,yhat,yhat_lower,yhat_upper
2018-02-25,10980.228538234602,4491.637001553697,18101.383212723526
2018-02-26,10960.58597134106,4104.2928323827355,17671.042119844733
2018-02-27,10860.098402051939,4346.0050912389925,17353.88928850478
2018-02-28,10880.517827741958,4247.439589428521,18095.85203418944
2018-03-01,10700.281948589274,4780.682196662554,17464.608447797687
2018-03-02,10675.863154341465,4044.647556597217,17762.301670217483
2018-03-03,10616.654940456534,3596.0928225851317,17253.23759576834
2018-03-04,10559.771653099062,4403.2430703074415,17731.793900598197
2018-03-05,10585.261816766117,4378.694924615929,17056.43178296404
2018-03-06,10548.590376468826,3271.396533037546,17263.836258448282
2018-03-07,10650.313110489622,3654.3438799088312,17291.715423685997
2018-03-08,10567.227160707445,3442.454959665186,17895.491614470895
2018-03-09,10653.758123439638,3576.518586813062,17247.744576810186
2018-03-10,10716.894894727915,3732.6711696752977,17652.54286477496
2018-03-11,10791.046941326447,3889.2209442920125,17184.71659156964
2018-03-12,10953.32278394992,4535.142750455499,17651.085542061304
2018-03-13,11056.083357209287,4118.703499825692,17490.83832752493
2018-03-14,11296.691678623502,4799.269794263961,18145.227293337783
2018-03-15,11348.740842277615,4611.87758265163,18191.87765876056
2018-03-16,11563.518792128472,4627.703213188092,18498.751265817697
2018-03-17,11745.019077170164,5091.239445261586,18449.54019884792
2018-03-18,11924.870317126608,5426.788246371887,18635.966641085193
2018-03-19,12177.681323212184,5770.04308843065,19409.731666419935
2018-03-20,12353.65384573373,5360.188190496784,18924.826353138076
2018-03-21,12648.382882312879,6454.618458497972,19653.669180624413
2018-03-22,12734.125297082013,5965.620723403301,19470.915609351046
2018-03-23,12961.294207141967,6435.552677918037,19697.088876015747
2018-03-24,13133.487632032848,6042.374296465229,20075.07885955519
2018-03-25,13282.423738618058,6450.450509382869,19807.95890659435
2018-03-26,13483.279549276742,6675.496739688374,20848.032939359586
2018-03-27,13587.285329055816,7122.442218731146,19881.553891760264
2018-03-28,13791.495142118232,7687.042854724187,20379.236695133703
2018-03-29,13770.015180911469,7287.266615295701,20568.54183509062
2018-03-30,13875.448449741878,7128.698390687148,20847.195381552603
2018-03-31,13913.865664880643,6973.937279882299,20599.79624146825
2018-04-01,13919.676273063962,7479.133622220859,20518.865800101525
2018-04-02,13970.898185811524,6804.324359215883,20773.78106616328
2018-04-03,13921.680287469362,7314.67461306532,20956.28643222344
2018-04-04,13972.000112227364,7214.762710480995,20380.957508420925
2018-04-05,13798.820209588552,7159.961934661588,20613.321416665054
2018-04-06,13757.46365554707,7590.322502253521,20481.144814711486
2018-04-07,13656.520356510197,7147.264233520548,20909.080819743973
2018-04-08,13532.659694627524,7093.0204936848395,19927.81525007666
2018-04-09,13465.84957716996,6249.166316943543,19885.820949493605
2018-04-10,13311.837193324021,6516.425672154628,20187.654102835986
2018-04-11,13271.814867296554,6767.623868141586,19843.56194453983
2018-04-12,13023.555244128838,6176.269717138002,19838.812499762756
2018-04-13,12922.776688452364,6263.756985617796,19850.32282404962
2018-04-14,12778.050663156686,5762.063397425618,19891.75263520991
2018-04-15,12625.626452820976,5558.591575927371,19593.098403891596
2018-04-16,12544.672814596117,5941.630636987944,18944.50828759242
2018-04-17,12389.791099438877,5920.211060339947,18694.07173470448
2018-04-18,12360.722214906513,5611.859861186225,19202.637795092338
2018-04-19,12133.530421108862,5544.599285622078,18722.315516556002
2018-04-20,12062.023404312145,5709.9403563385285,19052.516452876687
2018-04-21,11952.718809628208,5467.397696041214,18741.408716284954
2018-04-22,11839.730907265259,5168.673974572335,18335.790320976335
2018-04-23,11800.075227307612,4782.760357955464,18080.5660637307
2018-04-24,11686.243949550728,5266.54396949971,18431.902022741102
2018-04-25,11695.972703167932,4753.8496135269215,18325.16620763095
2018-04-26,11503.480138336197,4920.530276995921,18485.765145970883
2018-04-27,11460.93821610097,4653.191268770164,18197.97405722062
2018-04-28,11373.482071228122,4520.933315433613,18110.120536117443
2018-04-29,11274.132002532993,4855.50580954487,18395.423720029834
2018-04-30,11239.124541506875,4075.865296814916,18064.733301404838
2018-05-01,11120.504759831918,4334.037677131258,17743.01901435445
2018-05-02,11115.900117772544,4346.706506500358,17582.257954752036
2018-05-03,10899.757143192624,4207.47821747355,17614.58933534831
2018-05-04,10824.799094860551,3994.762007902256,17697.12907079775
2018-05-05,10697.01394349576,4187.719308819463,17847.640030279075
2018-05-06,10550.545959110994,3755.2485724388666,17428.863458580465
2018-05-07,10462.98882197996,3777.5273748532754,16819.005703500283
2018-05-08,10287.9335874905,3480.7474077122492,16558.764038937035
2018-05-09,10224.693145017292,3515.5753616886836,16731.72536693743
2018-05-10,9949.485928110516,2777.4817881047584,16814.062113156026
2018-05-11,9816.838586412574,3108.7415561273597,17172.10327060068
2018-05-12,9634.518538440672,2916.40078002857,15866.609810599019
2018-05-13,9438.37131062997,2274.288803835045,15784.043777366645
2018-05-14,9307.56210390388,2718.994837640055,16424.541480182826
2018-05-15,9097.07638521992,1999.6155214046973,16425.789701100308
2018-05-16,9007.402466916608,1804.5669831222708,15277.52291034641
2018-05-17,8715.679989033397,1813.6509478890046,15325.429105492465
2018-05-18,8577.074972413533,1539.9013924238518,15128.446561777433
2018-05-19,8399.693109154035,1475.3422945056657,15775.496595923581
2018-05-20,8219.40666690773,1956.0460138113538,15317.452404152074
2018-05-21,8115.094710490857,1750.909183356501,14724.518328093016
2018-05-22,7941.151407699384,959.6810371659202,14386.917076555008
2018-05-23,7897.185109145148,1581.3831923873136,14456.488373777129
2018-05-24,7659.191595876064,765.624661422422,14277.429534348103
2018-05-25,7580.9614118096815,936.7753481571716,14193.669195190838
2018-05-26,7469.0319904411435,192.34978711469384,14420.938264527846
2018-05-27,7357.558817558757,173.4090726334275,13975.347184816901
2018-05-28,7323.604054423196,119.65968027131115,14182.568062012982
2018-05-29,7219.696002186405,118.96065926430664,14281.396873256726
2018-05-30,7243.580644026926,424.55692259725055,14564.189609861052
2018-05-31,7069.4471795212885,252.5089260434116,13999.662439607948
2018-06-01,7049.386004908613,970.538711883826,14040.038607044118
2018-06-02,6988.388442057647,377.6106230137799,13476.010625229073
2018-06-03,6919.261146878469,319.4404715332105,14052.885340552297
2018-06-04,6917.952442154281,427.59068209435185,14103.573461677366
2018-06-05,6836.142939419384,-201.00087821188697,13399.898743631482
2018-06-06,6871.020860469732,204.83121041451136,13470.478598407932
2018-06-07,6696.523358711566,-177.07279711733764,12894.691199026924
2018-06-08,6664.8019064280925,190.81158395171283,13773.401025996473
2018-06-09,6581.220898576972,8.559369779895704,13666.695238325836
2018-06-10,6479.26248899675,-459.0815841134483,13462.098170902253
2018-06-11,6435.835221708758,-294.8928470015286,13098.311774888247
2018-06-12,6303.839361062597,-148.72076646456628,13713.733716321494
2018-06-13,6281.910074462645,-807.1419935893725,12916.488082271337
2018-06-14,6045.6206923019345,-961.8518439099006,12604.76431917063
2018-06-15,5948.905189137683,-706.7643507458921,12937.739150617324
2018-06-16,5799.010236574815,-448.71215468028623,12586.709475384472
2018-06-17,5631.351130767811,-1384.1830330395237,12443.564183596915
2018-06-18,5524.770494678789,-1398.2303138734458,12197.496633144883
2018-06-19,5334.0540089779215,-1650.175618630137,11533.724655292668
2018-06-20,5259.62565057091,-1424.5410204999425,12075.800596083094
2018-06-21,4978.705927227262,-1505.7930639570795,11878.599235723994
2018-06-22,4846.6934206021615,-1833.0215409138277,11519.142317813943
2018-06-23,4672.081029639203,-2149.3361724663314,11540.621116173772
2018-06-24,4491.2821048923015,-2855.098903136732,11421.256597968675
2018-06-25,4383.866085214319,-2271.7445737530647,11079.535338843141
2018-06-26,4205.05840850663,-2814.959819478529,10844.06561645045
2018-06-27,4155.4274883103135,-2232.8420241756953,10719.103337235363
2018-06-28,3912.042346980897,-3160.11304706265,10715.861772105385
2018-06-29,3829.8611098810834,-2241.9809035578146,10787.394098608796
2018-06-30,3716.6614410311777,-3108.968166120079,10422.558795208597
2018-07-01,3607.887607475063,-3023.987038915247,10138.227286347585
2018-07-02,3581.913106084745,-3195.333385161301,10422.625831158859
2018-07-03,3492.572794191872,-3638.3992473871112,10453.14496257417
2018-07-04,3538.8863587979768,-3724.870402370517,10049.641117834775
2018-07-05,3396.2556603561575,-3523.142117663305,9793.328826418981
2018-07-06,3417.8950343805113,-3407.3167548701517,10086.109599417088
2018-07-07,3409.8044762983486,-3838.635714446234,9533.479019777042
2018-07-08,3405.6592409839336,-3416.4649067303685,10318.256844211659
2018-07-09,3482.1136664715464,-3528.397277794094,9945.255914881736
2018-07-10,3491.3721015572983,-3069.0640431368847,10222.573706814655
2018-07-11,3630.9478014660253,-3247.078338297496,10803.04858692148
2018-07-12,3574.891473515462,-3324.394156285804,10342.503164532916
2018-07-13,3675.24784008388,-3155.4653470518033,10252.028317383736
2018-07-14,3737.0495836077644,-2920.154867056352,10950.724606888667
